gene,n_mutated,n_controls,dead_mutated,dead_control,odds_ratio,p_value,risk_diff,q_value_BY,passed_screening
PREX2,22,945,3,130,0.9898785425101214,1.0,-0.001202501202501205,0.03281302244589281,True
PREX1,11,956,2,131,1.3994910941475827,0.6544728231558026,0.04478889311525294,0.03281302244589281,True
PREPL,8,959,0,133,0.0,0.6079548711090935,-0.1386861313868613,0.03281302244589281,True
PREP,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PRDM4,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PRDM2,9,958,2,131,1.8037077426390404,0.35719799997040946,0.08547900719090698,0.03281302244589281,True
PRDM16,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PRDM14,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PRDM10,15,952,1,132,0.44372294372294374,0.707619043785257,-0.07198879551820729,0.03281302244589281,True
PLK4,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PRUNE2,29,938,2,131,0.45631891433418154,0.4119605001329082,-0.07069333137269318,0.03281302244589281,True
PLK2,9,958,1,132,0.7821969696969697,1.0,-0.026675945256321054,0.03281302244589281,True
PLG,11,956,3,130,2.3826923076923077,0.1834411064790646,0.13674400912894635,0.03281302244589281,True
PHC3,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PHC2,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PHACTR4,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PHACTR2,6,961,2,131,3.16793893129771,0.1942659066216041,0.19701699618452997,0.03281302244589281,True
PHACTR1,8,959,2,131,2.1068702290076335,0.3032355838978343,0.11339937434827946,0.03281302244589281,True
PGR,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PHEX,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PGM5,10,957,0,133,0.0,0.3735941385672879,-0.13897596656217345,0.03281302244589281,True
PGK1,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PGAP1,7,960,3,130,4.788461538461538,0.058560349864904916,0.29315476190476186,0.03281302244589281,True
PFKP,8,959,0,133,0.0,0.6079548711090935,-0.1386861313868613,0.03281302244589281,True
PFKM,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PEX5L,8,959,2,131,2.1068702290076335,0.3032355838978343,0.11339937434827946,0.03281302244589281,True
PEX1,10,957,1,132,0.6944444444444444,1.0,-0.03793103448275861,0.03281302244589281,True
PGLYRP3,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PER3,7,960,2,131,2.531297709923664,0.2485481293242838,0.14925595238095238,0.03281302244589281,True
PHF12,9,958,0,133,0.0,0.6196569480793772,-0.13883089770354906,0.03281302244589281,True
PHF20,6,961,2,131,3.16793893129771,0.1942659066216041,0.19701699618452997,0.03281302244589281,True
PIGG,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PI4KB,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
PI4KA,10,957,1,132,0.6944444444444444,1.0,-0.03793103448275861,0.03281302244589281,True
PHRF1,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PHLPP2,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PHLPP1,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PHF2,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PHLDB2,8,959,3,130,3.8261538461538462,0.08448576560363265,0.23944212721584984,0.03281302244589281,True
PHKA2,18,949,1,132,0.3640819964349376,0.49389159665038307,-0.08353822737384381,0.03281302244589281,True
PHKA1,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PHIP,11,956,1,132,0.6242424242424243,1.0,-0.04716622289844047,0.03281302244589281,True
PHF8,10,957,3,130,2.7263736263736265,0.14757260183461732,0.16415882967607104,0.03281302244589281,True
PHF3,16,951,3,130,1.457396449704142,0.47314559187957606,0.0508017875920084,0.03281302244589281,True
PHF20L1,14,953,2,131,1.0458015267175573,1.0,0.005396492280017984,0.03281302244589281,True
PHLDB1,9,958,3,130,3.1846153846153844,0.11436712764382075,0.197633959638135,0.03281302244589281,True
PIGN,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PER2,8,959,0,133,0.0,0.6079548711090935,-0.1386861313868613,0.03281302244589281,True
PELP1,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PDGFRA,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PDE6C,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PDE6A,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PDE5A,9,958,3,130,3.1846153846153844,0.11436712764382075,0.197633959638135,0.03281302244589281,True
PDE4DIP,11,956,3,130,2.3826923076923077,0.1834411064790646,0.13674400912894635,0.03281302244589281,True
PDE4D,7,960,2,131,2.531297709923664,0.2485481293242838,0.14925595238095238,0.03281302244589281,True
PDGFRB,7,960,2,131,2.531297709923664,0.2485481293242838,0.14925595238095238,0.03281302244589281,True
PDE4B,10,957,2,131,1.5763358778625953,0.6356258862370281,0.06311389759665623,0.03281302244589281,True
PDE1C,7,960,2,131,2.531297709923664,0.2485481293242838,0.14925595238095238,0.03281302244589281,True
PDE1A,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PDE11A,8,959,0,133,0.0,0.6079548711090935,-0.1386861313868613,0.03281302244589281,True
PDE10A,8,959,1,132,0.895021645021645,1.0,-0.012643378519290926,0.03281302244589281,True
PDCD4,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PDCD11,8,959,0,133,0.0,0.6079548711090935,-0.1386861313868613,0.03281302244589281,True
PDE3A,11,956,3,130,2.3826923076923077,0.1834411064790646,0.13674400912894635,0.03281302244589281,True
PER1,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PDIA5,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PDILT,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PELI2,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PEG3,19,948,7,126,3.8055555555555554,0.009555698990111433,0.23550966022651565,0.03281302244589281,True
PEF1,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PEAR1,7,960,0,133,0.0,0.6022730576469064,-0.13854166666666667,0.03281302244589281,True
PEAK1,9,958,2,131,1.8037077426390404,0.35719799997040946,0.08547900719090698,0.03281302244589281,True
PDZRN4,8,959,0,133,0.0,0.6079548711090935,-0.1386861313868613,0.03281302244589281,True
PDIK1L,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PDZRN3,8,959,0,133,0.0,0.6079548711090935,-0.1386861313868613,0.03281302244589281,True
PDZD2,23,944,4,129,1.3300693594451245,0.5438025359496639,0.03726050110537951,0.03281302244589281,True
PDXDC1,7,960,0,133,0.0,0.6022730576469064,-0.13854166666666667,0.03281302244589281,True
PDS5B,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PDS5A,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PDP1,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PDK4,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PDZD7,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PIGQ,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PIGR,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PIGW,6,961,2,131,3.16793893129771,0.1942659066216041,0.19701699618452997,0.03281302244589281,True
PLCG1,10,957,2,131,1.5763358778625953,0.6356258862370281,0.06311389759665623,0.03281302244589281,True
PLCE1,15,952,0,133,0.0,0.24591437252814008,-0.13970588235294118,0.03281302244589281,True
PLCB4,17,950,2,131,0.833587786259542,1.0,-0.020247678018575854,0.03281302244589281,True
PLCB3,6,961,2,131,3.16793893129771,0.1942659066216041,0.19701699618452997,0.03281302244589281,True
PLCB2,7,960,3,130,4.788461538461538,0.058560349864904916,0.29315476190476186,0.03281302244589281,True
PLCB1,10,957,1,132,0.6944444444444444,1.0,-0.03793103448275861,0.03281302244589281,True
PLCG2,8,959,0,133,0.0,0.6079548711090935,-0.1386861313868613,0.03281302244589281,True
PLB1,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PLA2R1,7,960,2,131,2.531297709923664,0.2485481293242838,0.14925595238095238,0.03281302244589281,True
PLA2G6,6,961,3,130,6.392307692307693,0.03714176199125719,0.3647242455775234,0.03281302244589281,True
PLA2G4F,7,960,2,131,2.531297709923664,0.2485481293242838,0.14925595238095238,0.03281302244589281,True
PLA2G4D,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PLA2G4A,10,957,1,132,0.6944444444444444,1.0,-0.03793103448275861,0.03281302244589281,True
PLA1A,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PLAT,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PKP4,10,957,0,133,0.0,0.3735941385672879,-0.13897596656217345,0.03281302244589281,True
PLCH1,16,951,2,131,0.8942202835332607,1.0,-0.012749737118822296,0.03281302244589281,True
PLCL2,15,952,1,132,0.44372294372294374,0.707619043785257,-0.07198879551820729,0.03281302244589281,True
PLEKHM1,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PLEKHH2,12,955,0,133,0.0,0.3888545559811644,-0.13926701570680627,0.03281302244589281,True
PLEKHH1,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PLEKHG4B,8,959,1,132,0.895021645021645,1.0,-0.012643378519290926,0.03281302244589281,True
PLEKHG2,7,960,2,131,2.531297709923664,0.2485481293242838,0.14925595238095238,0.03281302244589281,True
PLEKHG1,8,959,3,130,3.8261538461538462,0.08448576560363265,0.23944212721584984,0.03281302244589281,True
PLCL1,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PLEKHA8,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PLEKHA4,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PLEC,13,954,1,132,0.5189393939393939,1.0,-0.061441702951136906,0.03281302244589281,True
PLD5,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PLD1,9,958,1,132,0.7821969696969697,1.0,-0.026675945256321054,0.03281302244589281,True
PLCZ1,8,959,0,133,0.0,0.6079548711090935,-0.1386861313868613,0.03281302244589281,True
PLCXD2,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PLEKHA6,12,955,1,132,0.5668044077134986,1.0,-0.05488656195462478,0.03281302244589281,True
PKP2,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PKP1,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PKNOX2,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PIP4K2C,7,960,2,131,2.531297709923664,0.2485481293242838,0.14925595238095238,0.03281302244589281,True
PINK1,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PIKFYVE,11,956,2,131,1.3994910941475827,0.6544728231558026,0.04478889311525294,0.03281302244589281,True
PIK3R4,8,959,0,133,0.0,0.6079548711090935,-0.1386861313868613,0.03281302244589281,True
PIK3R3,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PIK3R1,30,937,4,129,0.9636255217650567,1.0,-0.004340092493774456,0.03281302244589281,True
PIP5K1A,6,961,2,131,3.16793893129771,0.1942659066216041,0.19701699618452997,0.03281302244589281,True
PIK3CG,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
PIK3CB,10,957,2,131,1.5763358778625953,0.6356258862370281,0.06311389759665623,0.03281302244589281,True
PIK3CA,328,639,44,89,0.9574299730970091,0.9214755212155165,-0.005133783732203523,0.03281302244589281,True
PIK3C3,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PIK3C2G,8,959,0,133,0.0,0.6079548711090935,-0.1386861313868613,0.03281302244589281,True
PIK3C2B,12,955,4,129,3.201550387596899,0.06980748262988491,0.1982547993019197,0.03281302244589281,True
PIK3C2A,7,960,1,132,1.0454545454545454,1.0,0.005357142857142838,0.03281302244589281,True
PIK3CD,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PITPNM1,5,962,0,133,0.0,1.0,-0.13825363825363826,0.03281302244589281,True
PITRM1,6,961,1,132,1.256060606060606,0.5894569370555072,0.029309746791536584,0.03281302244589281,True
PITX2,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
PKN2,9,958,0,133,0.0,0.6196569480793772,-0.13883089770354906,0.03281302244589281,True
PKLR,5,962,1,132,1.571969696969697,0.5235917653165231,0.06278586278586279,0.03281302244589281,True
PKHD1L1,36,931,5,128,1.0118447580645162,1.0,0.001402315312089758,0.03281302244589281,True
PKHD1,22,945,3,130,0.9898785425101214,1.0,-0.001202501202501205,0.03281302244589281,True
PKDREJ,8,959,1,132,0.895021645021645,1.0,-0.012643378519290926,0.03281302244589281,True
PKD2,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PKD1L2,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
PKD1L1,19,948,3,130,1.1798076923076923,0.7368866856312088,0.02076393515434155,0.03281302244589281,True
PKD1,9,958,0,133,0.0,0.6196569480793772,-0.13883089770354906,0.03281302244589281,True
PJA2,6,961,0,133,0.0,1.0,-0.1383975026014568,0.03281302244589281,True
PJA1,10,957,1,132,0.6944444444444444,1.0,-0.03793103448275861,0.03281302244589281,True
PIWIL4,5,962,2,131,4.229007633587786,0.14189119174482176,0.2638253638253638,0.03281302244589281,True
